"Robson_cat_f","faixa_etaria_f","Cesárea","Fórcipe (Instrumental)","Normal (Vaginal Espontâneo)"
"Grupo 1","Adolescentes precoces (11-15)","109 (27.7%)","96 (24.4%)","188 (47.8%)"
"Grupo 1","Adolescentes tardias (16-19)","138 (27.1%)","169 (33.2%)","202 (39.7%)"
"Grupo 1","Adultas (20-34)","147 (37.6%)","132 (33.8%)","112 (28.6%)"
"Grupo 2","Adolescentes precoces (11-15)","25 (47.2%)","22 (41.5%)","6 (11.3%)"
"Grupo 2","Adolescentes tardias (16-19)","47 (58%)","22 (27.2%)","12 (14.8%)"
"Grupo 2","Adultas (20-34)","674 (71.8%)","157 (16.7%)","108 (11.5%)"
"Grupo 3","Adolescentes precoces (11-15)","11 (42.3%)","5 (19.2%)","10 (38.5%)"
"Grupo 3","Adolescentes tardias (16-19)","26 (25.2%)","20 (19.4%)","57 (55.3%)"
"Grupo 3","Adultas (20-34)","153 (19.3%)","95 (12%)","544 (68.7%)"
"Grupo 4","Adultas (20-34)","206 (48.6%)","39 (9.2%)","179 (42.2%)"
"Grupo 5","Adultas (20-34)","1048 (89.2%)","54 (4.6%)","73 (6.2%)"
"Grupo 6","Adolescentes precoces (11-15)","1 (100%)","0 (0.0%)","0 (0.0%)"
"Grupo 6","Adolescentes tardias (16-19)","1 (100%)","0 (0.0%)","0 (0.0%)"
"Grupo 6","Adultas (20-34)","37 (94.9%)","0 (0.0%)","2 (5.1%)"
"Grupo 7","Adolescentes precoces (11-15)","4 (100%)","0 (0.0%)","0 (0.0%)"
"Grupo 7","Adolescentes tardias (16-19)","17 (94.4%)","0 (0.0%)","1 (5.6%)"
"Grupo 7","Adultas (20-34)","273 (90.4%)","0 (0.0%)","29 (9.6%)"
"Grupo 9","Adolescentes precoces (11-15)","5 (100%)","0 (0.0%)","0 (0.0%)"
"Grupo 9","Adolescentes tardias (16-19)","2 (100%)","0 (0.0%)","0 (0.0%)"
"Grupo 9","Adultas (20-34)","36 (90%)","0 (0.0%)","4 (10%)"
"Grupo 10","Adolescentes precoces (11-15)","11 (19.6%)","11 (19.6%)","34 (60.7%)"
"Grupo 10","Adolescentes tardias (16-19)","36 (31%)","18 (15.5%)","62 (53.4%)"
"Grupo 10","Adultas (20-34)","740 (62%)","68 (5.7%)","385 (32.3%)"
