"Robson_cat_f","faixa_etaria_f","n","n_cesarea","taxa_cesarea"
"Grupo 1","Adolescentes precoces (11-15)",393,109,27.7
"Grupo 1","Adolescentes tardias (16-19)",509,138,27.1
"Grupo 1","Adultas (20-34)",391,147,37.6
"Grupo 2","Adolescentes precoces (11-15)",53,25,47.2
"Grupo 2","Adolescentes tardias (16-19)",81,47,58
"Grupo 2","Adultas (20-34)",939,674,71.8
"Grupo 3","Adolescentes precoces (11-15)",26,11,42.3
"Grupo 3","Adolescentes tardias (16-19)",103,26,25.2
"Grupo 3","Adultas (20-34)",792,153,19.3
"Grupo 4","Adultas (20-34)",424,206,48.6
"Grupo 5","Adultas (20-34)",1175,1048,89.2
"Grupo 6","Adolescentes precoces (11-15)",1,1,100
"Grupo 6","Adolescentes tardias (16-19)",1,1,100
"Grupo 6","Adultas (20-34)",39,37,94.9
"Grupo 7","Adolescentes precoces (11-15)",4,4,100
"Grupo 7","Adolescentes tardias (16-19)",18,17,94.4
"Grupo 7","Adultas (20-34)",302,273,90.4
"Grupo 9","Adolescentes precoces (11-15)",5,5,100
"Grupo 9","Adolescentes tardias (16-19)",2,2,100
"Grupo 9","Adultas (20-34)",40,36,90
"Grupo 10","Adolescentes precoces (11-15)",56,11,19.6
"Grupo 10","Adolescentes tardias (16-19)",116,36,31
"Grupo 10","Adultas (20-34)",1193,740,62
