Modelo,Variavel_norm,Variavel_label,OR_Python,p_Python,IC_Python,OR_R,p_R,IC_R,OR_Julia,p_Julia,IC_Julia
Sug1_corrigida,adulta,Faixa etária adulta,3.87,0.0,[3.18 – 4.71],3.87,0.0,[3.18 – 4.72],3.87,0.0,[3.18 – 4.71]
Sug1_corrigida,apres_anomala,Apresentação anômala,8.55,0.0,[5.98 – 12.21],8.55,0.0,[6.07 – 12.42],8.55,0.0,[5.99 – 12.21]
Sug1_corrigida,dheg_corr,dheg (correto),2.65,0.0,[2.17 – 3.24],2.65,0.0,[2.18 – 3.25],2.65,0.0,[2.17 – 3.24]
Sug2_corrigida,adulta,Faixa etária adulta,1.31,0.8504,[0.08 – 20.89],1.31,0.8504,[0.05 – 33.04],1.31,0.8504,[0.08 – 20.89]
Sug2_corrigida,apres_anomala,Apresentação anômala,6.81,0.0,[4.76 – 9.74],6.81,0.0,[4.83 – 9.92],6.81,0.0,[4.76 – 9.74]
Sug2_corrigida,dheg_corr,dheg (correto),2.68,0.0,[2.18 – 3.3],2.68,0.0,[2.18 – 3.31],2.68,0.0,[2.18 – 3.3]
Sug2_corrigida,dmg_num,DMG obstétrica,,,,,,,1.52,0.0,[1.26 – 1.83]
Sug2_corrigida,dmg_obst,DMG obstétrica,1.52,0.0,[1.26 – 1.83],1.52,0.0,[1.26 – 1.84],,,
Sug3_corrigida,adulta,Faixa etária adulta,2.18,0.0,[1.73 – 2.74],2.32,0.0,[1.85 – 2.92],2.32,0.0,[1.84 – 2.92]
Sug3_corrigida,apres_anomala,Apresentação anômala,0.0,,[nan – nan],1896476.96,0.9475,[0.0 – nan],12772.48,0.5997,[0.0 – 2.762420483736679e+19]
Sug3_corrigida,dheg_corr,dheg (correto),2.57,0.0,[2.07 – 3.18],2.57,0.0,[2.08 – 3.2],2.57,0.0,[2.07 – 3.2]
Sug3_corrigida,rob_10,Robson 10,inf,,[nan – nan],0.0,0.9604,[0.0 – 0.82],0.0,0.7436,[0.0 – 6110045689373.85]
Sug3_corrigida,rob_11,Robson 11,inf,,[nan – nan],0.0,0.9579,[nan – 70427.14],0.0,0.7143,[0.0 – 2962097735367.65]
Sug3_corrigida,rob_12,Robson 12,inf,,[nan – nan],0.0,0.9585,[0.0 – 0.48],0.0,0.7215,[0.0 – 3571309255871.85]
Sug3_corrigida,rob_13,Robson 13,2.49,0.0,[2.01 – 3.08],2.43,0.0,[1.97 – 3.01],2.43,0.0,[1.96 – 3.01]
Sug3_corrigida,rob_2,Robson 2,4.4,0.0,[3.52 – 5.5],4.26,0.0,[3.41 – 5.32],4.26,0.0,[3.41 – 5.32]
Sug3_corrigida,rob_5,Robson 5,0.43,0.0,[0.34 – 0.55],0.42,0.0,[0.33 – 0.54],0.42,0.0,[0.33 – 0.54]
Sug3_corrigida,rob_6,Robson 6,1.55,0.0014,[1.18 – 2.02],1.5,0.0029,[1.15 – 1.96],1.5,0.0029,[1.15 – 1.96]
Sug3_corrigida,rob_9,Robson 9,14.34,0.0,[11.04 – 18.63],13.93,0.0,[10.76 – 18.15],13.93,0.0,[10.73 – 18.09]
Sug4_corrigida,adulta,Faixa etária adulta,1.8,0.0,[1.52 – 2.12],1.8,0.0,[1.52 – 2.12],1.8,0.0,[1.52 – 2.12]
Sug4_corrigida,dheg_corr,dheg (correto),2.39,0.0,[1.94 – 2.93],2.39,0.0,[1.95 – 2.94],2.39,0.0,[1.94 – 2.93]
Sug4_corrigida,rob_10,Robson 10,31.15,0.0,[7.44 – 130.35],31.15,0.0,[9.43 – 192.61],31.14,0.0,[7.54 – 128.72]
Sug4_corrigida,rob_11,Robson 11,15.44,0.0,[10.29 – 23.17],15.44,0.0,[10.45 – 23.59],15.44,0.0,[10.29 – 23.17]
Sug4_corrigida,rob_12,Robson 12,23.63,0.0,[7.24 – 77.2],23.63,0.0,[8.47 – 98.41],23.63,0.0,[7.26 – 76.95]
Sug4_corrigida,rob_13,Robson 13,2.13,0.0,[1.78 – 2.57],2.13,0.0,[1.78 – 2.57],2.13,0.0,[1.78 – 2.57]
Sug4_corrigida,rob_2,Robson 2,3.65,0.0,[2.99 – 4.44],3.65,0.0,[3.0 – 4.44],3.65,0.0,[2.99 – 4.44]
Sug4_corrigida,rob_5,Robson 5,0.43,0.0,[0.34 – 0.54],0.43,0.0,[0.34 – 0.54],0.43,0.0,[0.34 – 0.54]
Sug4_corrigida,rob_6,Robson 6,1.4,0.008,[1.09 – 1.8],1.4,0.008,[1.09 – 1.81],1.4,0.008,[1.09 – 1.8]
Sug4_corrigida,rob_9,Robson 9,12.75,0.0,[9.97 – 16.29],12.75,0.0,[10.0 – 16.34],12.75,0.0,[9.97 – 16.29]
Sug1_SPSS_incorreta,adulta,Faixa etária adulta,2.25,0.0051,[1.28 – 3.97],2.25,0.0051,[1.27 – 3.96],2.25,0.0051,[1.28 – 3.97]
Sug1_SPSS_incorreta,apres_anomala,Apresentação anômala,6.76,0.0,[4.73 – 9.67],6.76,0.0,[4.8 – 9.85],6.76,0.0,[4.73 – 9.67]
Sug1_SPSS_incorreta,dheg_spss,dheg_hipertensao_obst (SPSS),2.21,0.0,[1.87 – 2.62],2.21,0.0,[1.88 – 2.62],2.21,0.0,[1.87 – 2.62]
Sug4_SPSS_incorreta,adulta,Faixa etária adulta,1.56,0.051,[1.0 – 2.45],1.56,0.051,[1.0 – 2.45],1.56,0.051,[1.0 – 2.45]
Sug4_SPSS_incorreta,dheg_spss,dheg_hipertensao_obst (SPSS),2.07,0.0,[1.72 – 2.49],2.07,0.0,[1.73 – 2.5],2.07,0.0,[1.72 – 2.49]
Sug4_SPSS_incorreta,rob_10,Robson 10,30.81,0.0,[7.31 – 129.79],30.81,0.0,[9.24 – 191.3],30.81,0.0,[7.38 – 128.52]
Sug4_SPSS_incorreta,rob_11,Robson 11,15.09,0.0,[9.79 – 23.25],15.09,0.0,[9.94 – 23.65],15.09,0.0,[9.79 – 23.25]
Sug4_SPSS_incorreta,rob_12,Robson 12,17.91,0.0,[5.41 – 59.37],17.91,0.0,[6.3 – 75.33],17.91,0.0,[5.41 – 59.3]
Sug4_SPSS_incorreta,rob_13,Robson 13,2.5,0.0,[1.98 – 3.14],2.5,0.0,[1.98 – 3.15],2.5,0.0,[1.98 – 3.14]
Sug4_SPSS_incorreta,rob_2,Robson 2,3.98,0.0,[3.12 – 5.07],3.98,0.0,[3.12 – 5.07],3.98,0.0,[3.12 – 5.07]
Sug4_SPSS_incorreta,rob_5,Robson 5,0.41,0.0,[0.31 – 0.53],0.41,0.0,[0.31 – 0.53],0.41,0.0,[0.31 – 0.53]
Sug4_SPSS_incorreta,rob_6,Robson 6,1.5,0.0041,[1.14 – 1.98],1.5,0.0041,[1.14 – 1.98],1.5,0.0041,[1.14 – 1.98]
Sug4_SPSS_incorreta,rob_9,Robson 9,13.44,0.0,[10.24 – 17.64],13.44,0.0,[10.27 – 17.69],13.44,0.0,[10.24 – 17.64]
