Modelo,Variavel,B,p_valor,OR,IC95_inf,IC95_sup
Sug1_corrigida,(Intercept),-1.046,0,0.35,0.29,0.42
Sug1_corrigida,faixa_etariaAdulta,1.353,0,3.87,3.18,4.72
Sug1_corrigida,dheg,0.976,0,2.65,2.18,3.25
Sug1_corrigida,apres_feto_bin,2.146,0,8.55,6.07,12.42
Sug2_corrigida,(Intercept),-0,1,1,0.04,25.29
Sug2_corrigida,faixa_etariaAdulta,0.267,0.8504,1.31,0.05,33.04
Sug2_corrigida,dheg,0.986,0,2.68,2.18,3.31
Sug2_corrigida,apres_feto_bin,1.918,0,6.81,4.83,9.92
Sug2_corrigida,dmg_obst,0.419,0,1.52,1.26,1.84
Sug3_corrigida,(Intercept),-1.429,0,0.24,0.19,0.3
Sug3_corrigida,faixa_etariaAdulta,0.842,0,2.32,1.85,2.92
Sug3_corrigida,dheg,0.946,0,2.57,2.08,3.2
Sug3_corrigida,apres_feto_bin,14.456,0.9475,1896476.96,0,NA
Sug3_corrigida,robson2,1.448,0,4.26,3.41,5.32
Sug3_corrigida,robson5,-0.868,0,0.42,0.33,0.54
Sug3_corrigida,robson6,0.406,0.0029,1.5,1.15,1.96
Sug3_corrigida,robson9,2.634,0,13.93,10.76,18.15
Sug3_corrigida,robson10,-10.898,0.9604,0,0,0.82
Sug3_corrigida,robson11,-11.596,0.9579,0,NA,70427.14
Sug3_corrigida,robson12,-11.427,0.9585,0,0,0.48
Sug3_corrigida,robson13,0.888,0,2.43,1.97,3.01
Sug4_corrigida,(Intercept),-1.077,0,0.34,0.3,0.39
Sug4_corrigida,faixa_etariaAdulta,0.587,0,1.8,1.52,2.12
Sug4_corrigida,dheg,0.869,0,2.39,1.95,2.94
Sug4_corrigida,robson2,1.294,0,3.65,3,4.44
Sug4_corrigida,robson5,-0.843,0,0.43,0.34,0.54
Sug4_corrigida,robson6,0.339,0.008,1.4,1.09,1.81
Sug4_corrigida,robson9,2.545,0,12.75,10,16.34
Sug4_corrigida,robson10,3.439,0,31.15,9.43,192.61
Sug4_corrigida,robson11,2.737,0,15.44,10.45,23.59
Sug4_corrigida,robson12,3.163,0,23.63,8.47,98.41
Sug4_corrigida,robson13,0.758,0,2.13,1.78,2.57
Sug1_SPSS_incorreta,(Intercept),-0.525,0.0713,0.59,0.34,1.06
Sug1_SPSS_incorreta,faixa_etariaAdulta,0.811,0.0051,2.25,1.27,3.96
Sug1_SPSS_incorreta,dheg_spss,0.795,0,2.21,1.88,2.62
Sug1_SPSS_incorreta,apres_feto_bin,1.912,0,6.76,4.8,9.85
Sug4_SPSS_incorreta,(Intercept),-1.028,0,0.36,0.23,0.56
Sug4_SPSS_incorreta,faixa_etariaAdulta,0.448,0.051,1.56,1,2.45
Sug4_SPSS_incorreta,dheg_spss,0.729,0,2.07,1.73,2.5
Sug4_SPSS_incorreta,robson2,1.38,0,3.98,3.12,5.07
Sug4_SPSS_incorreta,robson5,-0.898,0,0.41,0.31,0.53
Sug4_SPSS_incorreta,robson6,0.405,0.0041,1.5,1.14,1.98
Sug4_SPSS_incorreta,robson9,2.598,0,13.44,10.27,17.69
Sug4_SPSS_incorreta,robson10,3.428,0,30.81,9.24,191.3
Sug4_SPSS_incorreta,robson11,2.714,0,15.09,9.94,23.65
Sug4_SPSS_incorreta,robson12,2.886,0,17.91,6.3,75.33
Sug4_SPSS_incorreta,robson13,0.914,0,2.5,1.98,3.15
