"variavel","categoria","p_valor","precoces (11-15)","tardias (16-19)","adultas (20-34)"
"Asma","Sim",0,"3 (0.6%)","6 (0.7%)","186 (3.5%)"
"Cardiopatia materna","Sim",0,"1 (0.2%)","5 (0.6%)","184 (3.5%)"
"DHEG (alternativo)","Sim",0,"26 (4.8%)","35 (4.2%)","599 (11.3%)"
"Diabetes mellitus gestacional (DMG - alt)","Sim",0,"3 (0.6%)","4 (0.5%)","552 (10.4%)"
"Diabetes mellitus gestacional (DMG)","Sim",1,"0 (0.0%)","0 (0%)","552 (10.5%)"
"Diabetes pré-gestacional","Sim",0,"0 (0%)","0 (0%)","176 (3.3%)"
"Eclâmpsia","Sim",1,"0 (0.0%)","0 (0%)","95 (1.8%)"
"Epilepsia","Sim",0.0024,"3 (0.6%)","1 (0.1%)","74 (1.4%)"
"Hipertensão arterial crônica (pré-existente)","Sim",0,"2 (0.4%)","3 (0.4%)","382 (7.2%)"
"Hipertensão gestacional / DHEG","Sim",1,"0 (0.0%)","0 (0%)","812 (15.4%)"
"Iminência de eclâmpsia","Sim",0.8952,"1 (0.2%)","1 (0.1%)","13 (0.2%)"
"Pré-eclâmpsia","Sim",1,"0 (0.0%)","0 (0%)","15 (0.3%)"
"Qualquer patologia materna pré-existente","Sim",0,"19 (3.5%)","40 (4.8%)","1499 (28.4%)"
"Rotura prematura de membranas (RPMO)","Sim",0,"1 (0.2%)","0 (0%)","450 (8.5%)"
"Trombofilias","Sim",0.0077,"0 (0%)","1 (0.1%)","41 (0.8%)"
