"Robson_cat_f","faixa_etaria_f","N","Cesáreas","Taxa (%)","IC 95% (Wilson)"
"Grupo 1","Adolescentes precoces (11-15)",393,109,27.7,"23.5 – 32.4"
"Grupo 1","Adolescentes tardias (16-19)",509,138,27.1,"23.4 – 31.1"
"Grupo 1","Adultas (20-34)",391,147,37.6,"32.9 – 42.5"
"Grupo 2","Adolescentes precoces (11-15)",53,25,47.2,"34.4 – 60.3"
"Grupo 2","Adolescentes tardias (16-19)",81,47,58,"47.2 – 68.2"
"Grupo 2","Adultas (20-34)",939,674,71.8,"68.8 – 74.6"
"Grupo 3","Adolescentes precoces (11-15)",26,11,42.3,"25.5 – 61.1"
"Grupo 3","Adolescentes tardias (16-19)",103,26,25.2,"17.8 – 34.4"
"Grupo 3","Adultas (20-34)",792,153,19.3,"16.7 – 22.2"
"Grupo 4","Adultas (20-34)",424,206,48.6,"43.9 – 53.3"
"Grupo 5","Adultas (20-34)",1175,1048,89.2,"87.3 – 90.8"
"Grupo 6","Adolescentes precoces (11-15)",1,1,100,"20.7 – 100"
"Grupo 6","Adolescentes tardias (16-19)",1,1,100,"20.7 – 100"
"Grupo 6","Adultas (20-34)",39,37,94.9,"83.1 – 98.6"
"Grupo 7","Adolescentes precoces (11-15)",4,4,100,"51 – 100"
"Grupo 7","Adolescentes tardias (16-19)",18,17,94.4,"74.2 – 99"
"Grupo 7","Adultas (20-34)",300,272,90.7,"86.8 – 93.5"
"Grupo 9","Adolescentes precoces (11-15)",5,5,100,"56.6 – 100"
"Grupo 9","Adolescentes tardias (16-19)",2,2,100,"34.2 – 100"
"Grupo 9","Adultas (20-34)",40,36,90,"76.9 – 96"
"Grupo 10","Adolescentes precoces (11-15)",56,11,19.6,"11.3 – 31.8"
"Grupo 10","Adolescentes tardias (16-19)",115,36,31.3,"23.5 – 40.3"
"Grupo 10","Adultas (20-34)",1183,740,62.6,"59.8 – 65.3"
