Indicação,n_precoces,%_precoces,n_tardias,%_tardias,n_adultas,%_adultas,n_total
Sofrimento fetal / Mecônio / Alteração de Vitalidade,48,34.8,75,33.0,738,22.9,861
Patologia materna,3,2.2,3,1.3,497,15.4,503
Distocia de Funcional / Parada de progressão / falha de indução,27,19.6,53,23.3,406,12.6,486
Iteratividade,0,0.0,1,0.4,375,11.6,376
Contraindicação de indução,2,1.4,13,5.7,352,10.9,367
Desproporção Céfalo-Pélvico / Fórcipe Falhado / Vício pélvio / Macrossomia,38,27.5,43,18.9,242,7.5,323
Patologia fetal / Malformação fetal,4,2.9,4,1.8,249,7.7,257
Apresentação anômala,9,6.5,24,10.6,159,4.9,192
Patologia obstétrica,3,2.2,4,1.8,84,2.6,91
Outros,4,2.9,7,3.1,79,2.4,90
Placenta Prévia,0,0.0,0,0.0,47,1.5,47
