Via de Parto,Grupo,Indicação,n,%
Fórcipe (Instrumental),Adolescentes,Não informada,216,59.5
Fórcipe (Instrumental),Adolescentes,Alívio materno-fetal,62,17.1
Fórcipe (Instrumental),Adolescentes,Abreviação do período expulsivo,41,11.3
Fórcipe (Instrumental),Adolescentes,Distocia de rotação,36,9.9
Fórcipe (Instrumental),Adolescentes,Mecônio,4,1.1
Fórcipe (Instrumental),Adultas,Alívio materno-fetal,208,38.2
Fórcipe (Instrumental),Adultas,Abreviação do período expulsivo,177,32.5
Fórcipe (Instrumental),Adultas,Distocia de rotação,95,17.5
Fórcipe (Instrumental),Adultas,Não informada,37,6.8
Fórcipe (Instrumental),Adultas,Sofrimento fetal,10,1.8
