Variável,PR,IC 95%,p
Faixa etária 20–34 (vs. 11–15),1.43,1.24 – 1.65,"<0,001"
Faixa etária 16–19 (vs. 11–15),1.05,0.89 – 1.24,"0,539"
Robson 2 (vs. Robson 1),1.96,1.75 – 2.20,"<0,001"
Robson 3 (vs. Robson 1),0.6,0.50 – 0.72,"<0,001"
Robson 4 (vs. Robson 1),1.42,1.21 – 1.66,"<0,001"
Robson 5 (vs. Robson 1),2.4,2.15 – 2.68,"<0,001"
Robson 6 (vs. Robson 1),2.59,2.23 – 2.99,"<0,001"
Robson 7 (vs. Robson 1),2.59,2.32 – 2.90,"<0,001"
Robson 9 (vs. Robson 1),2.65,2.32 – 3.04,"<0,001"
Robson 10 (vs. Robson 1),1.6,1.43 – 1.80,"<0,001"
