"Variável","PR_R","IC_R","p_R","OR_SPSS_logistica","IC_SPSS","p_SPSS","Nota"
"Faixa etária adulta (vs. adolescente)",1.351,"1.232 – 1.482","< 0,001",1.79,"1.12 – 2.86","0,015","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
"DHEG (sim vs. não)",1.246,"1.193 – 1.303","< 0,001",0.4,"0.32 – 0.5","< 0,001","SPSS: OR logístico c/ DHEG=Sim como referência (invertido). PR_R não enviesado."
"Robson 10 (vs. Robson 1)",1.58,"1.424 – 1.755","< 0,001",2.69,"2.05 – 3.52","< 0,001","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
"Robson 2 (vs. Robson 1)",1.896,"1.711 – 2.101","< 0,001",4.38,"3.3 – 5.82","< 0,001","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
"Robson 3 (vs. Robson 1)",0.579,"0.493 – 0.68","< 0,001",0.48,"0.35 – 0.66","< 0,001","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
"Robson 4 (vs. Robson 1)",1.291,"1.123 – 1.483","< 0,001",1.86,"1.33 – 2.59","< 0,001","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
"Robson 5 (vs. Robson 1)",2.383,"2.156 – 2.635","< 0,001",13.65,"9.88 – 18.85","< 0,001","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
"Robson 6 (vs. Robson 1)",2.567,"2.272 – 2.9","< 0,001",23.65,"5.49 – 101.89","< 0,001","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
"Robson 7 (vs. Robson 1)",2.446,"2.208 – 2.711","< 0,001",22.86,"13.05 – 40.08","< 0,001","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
"Robson 9 (vs. Robson 1)",2.489,"2.176 – 2.846","< 0,001",27.66,"6.49 – 117.89","< 0,001","OR_SPSS é logística (alta prevalência → superestima); usar PR_R."
