Termo,PR,IC 95%,p
Adultas Rob 1,1.29,1.06 – 1.56,"0,010"
Adolescentes Rob 2,1.94,1.59 – 2.36,"<0,001"
Adultas Rob 2,2.65,2.36 – 2.99,"<0,001"
Adolescentes Rob 3,0.98,0.72 – 1.35,"0,908"
Adultas Rob 3,0.74,0.61 – 0.90,"0,002"
Adultas Rob 4,1.92,1.64 – 2.24,"<0,001"
Adultas Rob 5,3.25,2.90 – 3.63,"<0,001"
Adolescentes Rob 6,3.68,3.30 – 4.11,"<0,001"
Adultas Rob 6,3.42,2.94 – 3.97,"<0,001"
Adolescentes Rob 7,3.51,3.05 – 4.05,"<0,001"
Adultas Rob 7,3.41,3.04 – 3.83,"<0,001"
Adolescentes Rob 9,3.68,3.30 – 4.11,"<0,001"
Adultas Rob 9,3.38,2.93 – 3.91,"<0,001"
Adolescentes Rob 10,0.96,0.72 – 1.27,"0,778"
Adultas Rob 10,2.28,2.02 – 2.57,"<0,001"
