"variavel","precoces (11-15)","tardias (16-19)","adultas (20-34)","p_valor"
"IG de início do pré-natal (semanas)","19.4 (15.1–24.5)","18.3 (14.2–23.1)","15.0 (11.0–22.0)",0
"Número de gestações","1.0 (1.0–1.0)","1.0 (1.0–1.0)","2.0 (1.0–3.0)",0
"Paridade (partos prévios)","0.0 (0.0–0.0)","0.0 (0.0–0.0)","1.0 (0.0–2.0)",0
"Abortos prévios","0.0 (0.0–0.0)","0.0 (0.0–0.0)","0.0 (0.0–0.0)",0
"IMC (kg/m²)","22.6 (20.7–24.7)","22.6 (20.6–24.7)","26.1 (23.1–30.0)",0
"Número de consultas de pré-natal","7.0 (6.0–9.0)","8.0 (6.0–10.0)","8.0 (6.0–10.0)",1e-04
"IG no parto (semanas)","39.1 (38.0–40.0)","39.0 (38.0–40.0)","38.3 (37.0–39.6)",0
"Peso do recém-nascido (g)","3110.0 (2800.0–3400.0)","3080.0 (2760.0–3375.0)","3010.0 (2580.0–3370.0)",0
"Apgar 1º minuto","9.0 (8.0–9.0)","9.0 (8.0–9.0)","9.0 (8.0–9.0)",0.2231
"Apgar 5º minuto","9.0 (9.0–10.0)","9.0 (9.0–10.0)","9.0 (9.0–10.0)",0.8679
"Apgar 10º minuto","10.0 (9.0–10.0)","10.0 (9.0–10.0)","10.0 (9.0–10.0)",0.1409
