,OR,IC95_inf,IC95_sup,p
Intercept,0.595,0.505,0.702,0.0
"C(Robson, Treatment('1'))[T.10]",2.17,1.804,2.61,0.0
"C(Robson, Treatment('1'))[T.2]",3.628,2.979,4.419,0.0
"C(Robson, Treatment('1'))[T.3]",0.441,0.354,0.55,0.0
"C(Robson, Treatment('1'))[T.4]",1.378,1.071,1.773,0.013
"C(Robson, Treatment('1'))[T.5]",12.612,9.863,16.127,0.0
"C(Robson, Treatment('1'))[T.6]",31.362,7.493,131.259,0.0
"C(Robson, Treatment('1'))[T.7]",16.028,10.619,24.195,0.0
"C(Robson, Treatment('1'))[T.9]",17.525,6.192,49.602,0.0
"C(faixa, Treatment('adulta'))[T.precoce]",0.549,0.437,0.689,0.0
"C(faixa, Treatment('adulta'))[T.tardia]",0.593,0.491,0.717,0.0
dheg,2.434,1.981,2.99,0.0
dmg,1.334,1.078,1.652,0.008
